ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
5,Student_5,19,78,B+
6,Student_6,25,88,A
7,Student_7,21,74,B
8,Student_8,23,59,C+
9,Student_9,20,91,A+
10,Student_10,22,84,A
ID,Name,Age,Marks,Grade
1,Student_1,24,86,A
2,Student_2,20,57,C
3,Student_3,22,92,A+
4,Student_4,23,65,B
